Business Name,Industry Category,Business Description,Location,Google Maps Profile Link,OpenStreetMap Link,Website URL,Website Classification,Website Status Code,HTTPS Used,Contact Page Found,Services Page Found,Website Analysis Reason,Online Presence Type,Referral Platform Links,Phone Number,Email Address,Owner / Founder Name,LinkedIn Profile,Lead Score,Business Potential Category,Reason for Classification,Detailed Score Reason,Source,Scrape Status,Created Date
Rhythmic Power Yoga,hospital,Hospital listed on OpenStreetMap,"B-104, Rajat Jayanti Complex, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7558514,75.8872300",https://www.openstreetmap.org/node/6187557090,"/clev?event=StartpageResultClick&sc=5mZRtno4HQFnOy24R8ZC9XkHMEjrXtpMmTAL0GWZU1oWrn1oIym5qKcanU0O0z8T6BTNgcx1OWgIB&payload={""bdsSessionId"":""b5f8b34edd804ccbb4f9b4a7036c1e9f"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""yj1NrQ4eK1p7bFiP"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""WH0OWuLHmj32Tos6"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9707904001,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
डॉक्टर जितेंद्र गुप्ता,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7574326,75.8850750",https://www.openstreetmap.org/node/6189270338,"/clev?event=StartpageResultClick&sc=maXqNizpmK1RbyMMDUVAfuIZW4B510nSbS84GFaSUrzjc14wyM9LF1BobmDjjqlX30IXshIH0RTvzL&payload={""bdsSessionId"":""2e15811abe2049ad8830229e04fc8bdf"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""127ulxLLCP22A5J6e"",""queryCategory"":""web"",""segment"":""startpage.opera"",""session_id"":""HyfkTEbIeyNxcaCz"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,8878329155,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Mother Care Nursing Home,hospital,Hospital listed on OpenStreetMap,"20-DH, Scheme No. 74, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7585123,75.8859229",https://www.openstreetmap.org/node/6188049620,https://www.allcarehealthcenter.org/,Poor Website,,,,,,Official Website Found,,7312550220,,,https://www.linkedin.com/company/all-care-health-center,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Star diagnosis centre,clinic,Clinic listed on OpenStreetMap,"Scheme No. 54, Vijay Nagar, indore","https://www.google.com/maps/search/?api=1&query=22.7573989,75.8852314",https://www.openstreetmap.org/node/6187914691,https://www.latlong.net/poi/star-diagnosis-centre-396377,Poor Website,,,,,,Official Website Found,,9074490000,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
ओपीडी एनेक्स,clinic,Clinic listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7578227,75.8845130",https://www.openstreetmap.org/node/6187914690,https://www.apollohospitals.com/indore,Poor Website,,,,,,Official Website Found,,9826066765,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Greater Kailash Hospital,hospital,Hospital listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7250815,75.8904652",https://www.openstreetmap.org/node/1802056893,https://www.gkh.co.in/,Poor Website,,,,,,Official Website Found,https://www.medindia.net/directories/hospitals/greater-kailash-hospital-indore-madhya-pradesh-65341.htm | https://www.practo.com/indore/hospital/greater-kailash-hospital-old-palasia-1 | https://www.practo.com/indore/hospital/gk-clinic-greater-kailash-hospital-old-palasia,,,,,30,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
kjd,hospital,Hospital listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.8197524,75.9431528",https://www.openstreetmap.org/node/6183215260,https://www.stanzaliving.com/coliving-pg-paying-guest-for-working-professionals-near-kjd-md4505-indore-slng1i3c15cga,Poor Website,,,,,,Official Website Found,https://www.youtube.com/watch?v=KJD3OIwSs2U | https://www.youtube.com/watch?v=_8KJD-Vps_E,,,,,30,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Qurban Husain,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7167406,75.8637897",https://www.openstreetmap.org/node/3360065915,https://indushospital.org.pk/,Poor Website,,,,,,Official Website Found,https://en.wikipedia.org/wiki/Indus_Hospital_and_Health_Network,,crd@tih.org.pk,Blood Transfusion Services Directorate,https://www.linkedin.com/company/the-indus-hospital/,30,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Shri Aurobindo dental clinic and institute of medical science,clinic,Clinic listed on OpenStreetMap,Ujjain Road,"https://www.google.com/maps/search/?api=1&query=22.7915227,75.8456355",https://www.openstreetmap.org/node/4273145396,https://hospital.sriaurobindouniversity.edu.in/,Poor Website,,,,,,Official Website Found,https://www.medindia.net/directories/hospitals/sri-aurobindo-institute-of-medical-sciences-hospital-indore-madhya-pradesh-41479.htm,6232007712,,,,30,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Curewell hospital janjeerwala square,hospital,Hospital listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7266640,75.8819643",https://www.openstreetmap.org/node/5718306821,https://www.hexahealth.com/indore/hospital/curewell-hospital,Poor Website,,,,,,Official Website Found,https://www.medindia.net/directories/hospitals/curewell-hospital-pvt-ltd-indore-madhya-pradesh-85166.htm | https://t.justdial.com/Indore/Curewell-Hospital-Pvt-Ltd-Near-Janjeerwala-Circle-Near-Janjeer-Wala-Chouraha-New-Palasia/0731P731STDF004932_BZDET | https://www.practo.com/Indore/clinic/curewell-hospital-3-new-palasia-2,,,,,30,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
अमित चाइल्ड केअर क्लिनिक,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7533013,75.8878778",https://www.openstreetmap.org/node/6187533162,https://indore.nic.in/en/public-utility-category/private-hospital/,Poor Website,,,,,,Official Website Found,https://www.medindia.net/directories/hospitals/madhya-pradesh/indore/index.htm | https://www.practo.com/indore/clinics | https://dir.indiamart.com/indore/child-medical-treatment-service.html,0731-2483311,,Blocks Police Constituency Demography,,30,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
"Dr. Bhavna Soni, Dr. Harish Soni",clinic,Clinic listed on OpenStreetMap,"8, Bhamori Plaza, Bhamori, Indore","https://www.google.com/maps/search/?api=1&query=22.7471707,75.8883592",https://www.openstreetmap.org/node/6188005638,https://www.latlong.net/poi/dr-bhavna-soni-dr-harish-soni-396379,Poor Website,,,,,,Official Website Found,https://www.practo.com/,,,,,30,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Aditya Nursing Home,clinic,Hospital,452009,"https://www.google.com/maps/search/?api=1&query=22.6977953,75.8337942",https://www.openstreetmap.org/node/4691762672,https://www.hexahealth.com/indore/hospital/aditya-hospital-aditya-lifeline-usha-nagar,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Delhi/Aditya-Hospital/nct-15635551 | https://in.linkedin.com/company/aditya-hospital-aditya-lifeline-pvt-ltd,,,,,30,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Dr. Seema Bajpai,clinic,Clinic listed on OpenStreetMap,"51, Ganga Devi Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7507994,75.9000859",https://www.openstreetmap.org/node/6187445419,https://providers.chihealth.com/l/chi-health-clinic-heart-institute-mercy-council-bluffs-1585,Poor Website,,,,,,Official Website Found,,,,,https://www.linkedin.com/company/chi-health,25,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available,OpenStreetMap,Completed,2026-06-27
Dr. Meghna Laghate Kelkar,clinic,Clinic listed on OpenStreetMap,"Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7530230,75.9049433",https://www.openstreetmap.org/node/6187444667,https://www.latlong.net/poi/dr-meghna-laghate-kelkar-396345,Poor Website,,,,,,Official Website Found,,,,,,25,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available,OpenStreetMap,Completed,2026-06-27
Shubham Hospital,hospital,Hospital listed on OpenStreetMap,"Indore, 452009","https://www.google.com/maps/search/?api=1&query=22.6910407,75.8263785",https://www.openstreetmap.org/node/4634651012,https://indoredilse.com/indore/hospitals/,Poor Website,,,,,,Official Website Found,,+91-98260-86171,indoredilse@gmail.com,Vastu Political Sports Others Business,,25,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available,OpenStreetMap,Completed,2026-06-27
डॉक्टर दीपक सिमलोट,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7556429,75.8881164",https://www.openstreetmap.org/node/6187565510,https://www.medicoverhospitals.in/,Poor Website,,,,,,Official Website Found,,040 68334455,info@medicoverhospitals.in,,https://www.linkedin.com/company/medicoverhospitals/,25,Low,Business already has stronger digital presence or limited available outreach information.,Website exists but digital quality is weak; Official website presence found; Phone number not available; Email address not available,OpenStreetMap,Completed,2026-06-27
